ID,Sales_Person,Customer_Name,Car_Make,Car_Model,Car_Year,Sale_Price,Commission_Rate,Commission_Earned,Year,Month,Month_ID,Day,Day_ID,Day_Index,,,
1,Christopher Murphy,Nicholas Price,Toyota,Silverado,2020,30345,0.127034747,3854.87,2022,August,8,Wednesday,3,10,,,
2,Megan Gibson,Joshua Clark,Ford,Corolla,2016,48949,0.136564492,6684.7,2023,March,3,Monday,1,27,,,
3,Erin Sawyer MD,Kelsey Peterson,Nissan,Corolla,2010,22289,0.088097042,1963.59,2022,December,12,Tuesday,2,13,,,
4,Gregory Lee,Ana Jones,Nissan,Silverado,2015,28857,0.148810154,4294.21,2022,June,6,Wednesday,3,15,,,
5,Nancy Hamilton,Sabrina Mason,Ford,F-150,2010,46327,0.058813061,2724.63,2022,September,9,Tuesday,2,27,,,
6,Jonathan Young,Steven Duffy,Nissan,Silverado,2012,34179,0.054626624,1867.08,2023,March,3,Wednesday,3,15,,,
7,Mrs. Jennifer Rice,Jay Lawrence,Honda,Corolla,2021,29004,0.13243834,3841.24,2022,May,5,Saturday,6,28,,,
8,Bryan Chang,Tina Myers,Chevrolet,Civic,2013,41129,0.108006612,4442.2,2022,October,10,Monday,1,31,,,
9,Carla Brandt,Monique Benton,Nissan,Altima,2011,43583,0.130535843,5689.14,2022,June,6,Friday,5,10,,,
10,Rebecca Gould,Lynn Williams,Honda,Silverado,2015,33328,0.052139469,1737.7,2022,July,7,Sunday,7,31,,,
11,Ricardo Cardenas,Crystal Lynch,Ford,F-150,2018,39915,0.120460312,4808.17,2022,May,5,Tuesday,2,24,,,
12,Brian Chandler,Brittany Long,Nissan,F-150,2010,30427,0.115769238,3522.51,2022,October,10,Monday,1,3,,,
13,Randy Montoya,Joyce Peters,Ford,F-150,2022,40245,0.112253686,4517.65,2022,June,6,Friday,5,3,,,
14,Zachary Munoz,Joseph Ward,Chevrolet,Silverado,2015,16296,0.090392192,1473.03,2022,October,10,Sunday,7,9,,,
15,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.070495228,1126.73,2022,August,8,Monday,1,1,,,
16,Alexandria Henry,Daniel Watson,Nissan,Silverado,2014,24416,0.144168409,3520.02,2023,March,3,Friday,5,3,,,
17,Nicholas Gibbs,Doris Guerrero,Toyota,Corolla,2012,16369,0.127804621,2092.03,2022,July,7,Tuesday,2,26,,,
18,Lisa Gray,Erica Phillips,Ford,F-150,2010,22324,0.067924771,1516.35,2023,April,4,Tuesday,2,11,,,
19,Jose Anderson,Martin Moon,Ford,Silverado,2020,25912,0.128395024,3326.97,2022,December,12,Friday,5,2,,,
20,Anthony Lowe,David Watts,Toyota,Civic,2010,26888,0.138317932,3719.09,2022,August,8,Friday,5,12,,,
21,Joseph Kennedy,Lisa Hinton,Nissan,Corolla,2016,42322,0.128958664,5457.79,2022,September,9,Tuesday,2,27,,,
